Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Taiwan to Apac(Excluding Korea and Indonesia),39C4-C178-DBED,0,gibibyte,0,0,0,0.000001,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Warsaw to EMEA,BFC9-7EFC-759A,0,gibibyte,0,0,0,0.000001,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Sao Paulo to Americas,C06E-61DB-4806,0,gibibyte,0,0,0,0.000001,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Americas to Finland,13EA-07C9-BE0C,0,gibibyte,0,0,0,0.000001,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Dammam to London,5D93-6790-E8CD,0,gibibyte,0,0,0,0.000001,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Singapore (asia-southeast1),A9BA-43D3-25AD,0,gibibyte,0,0,0,0.000001,0,0%
Cloud Text-to-Speech API,02DA-B362-D983,Count of characters for Chirp3-HD voices,F977-2280-6F1B,"2,158",count,0,0,0,0,0,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Intra Region Egress,546B-E8F2-6FF5,0.416,gibibyte,0,0,0,0,0,0%
Artifact Registry,149C-F9EC-3994,"Artifact Registry Network Internet Egress Intercontinental (Excl Oceania, Africa and China)",72BD-5309-1C4C,0,gibibyte,0,0,0,0,0,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry GOOGLE-API Egress,E794-0787-45A9,0,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out Europe to Europe,0C22-3157-F0C9,0,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run GOOGLE-API Data Transfer Out,0CCB-7057-48DE,0.146,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Requests,2DA5-55D3-E679,"15,199",count,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network HTTP Load Balancing Data Transfer Out to Load Balancer,9841-EABE-71F3,0.065,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network Inter Region Data Transfer Out Intercontinental (Excl Oceania),9B46-8DDB-2AC8,0,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network Data Transfer Out via Carrier Peering Network - North America Based,D63C-EDCA-4726,0,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out North America to North America,DDFD-AE42-E219,0.611,gibibyte,0,0,0,0,0,-100%
Cloud Run,152E-C115-5142,Cloud Run Network Inter Region Data Transfer Out North America to North America,E262-332F-1474,0,gibibyte,0,0,0,0,0,0%
Cloud Run,152E-C115-5142,Cloud Run Network Intra Region Data Transfer,EF10-B23A-2545,0,gibibyte,0,0,0,0,0,0%
BigQuery,24E6-581D-38E5,Active Logical Storage (us-central1),0018-A5A0-9D6D,0.723,gibibyte month,0,0,0,0,0,0%
BigQuery,24E6-581D-38E5,Analysis (us-central1),3362-E469-6BEF,0.007,tebibyte,0,0,0,0,0,0%
BigQuery,24E6-581D-38E5,Long Term Logical Storage (us-central1),55B3-2F73-B6A3,1.763,gibibyte month,0,0,0,0,0,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Invocations,8E10-82EB-6917,1,count,0,0,0,0,0,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Invocations,92DF-0F0E-630F,34,count,0,0,0,0,0,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions (1st Gen) CPU (Request-based billing),C024-9C10-2A5B,0.36,second,0,0,0,0,0,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run functions (1st Gen) Memory (Request-based billing),F01C-3EA0-06CD,0.225,gibibyte second,0,0,0,0,0,0%
Dataplex,51C6-B3F5-9B38,Dataplex Metadata Storage Virginia,C385-DF89-162B,0,gibibyte month,0,0,0,0,0,0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,2.145,gibibyte,0,0,0,0,0,0%
Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,0.024,mebibyte,0,0,0,0,0,0%
VM Manager,5E18-9A83-2867,VM Manager Usage (Cloud Ops),210B-55F7-AA37,1,count,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sao Paulo to Dammam,0170-EC7C-AFB8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Netherlands,0236-DFB5-6AC3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Finland,035D-1BA5-C635,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to South America,03A5-1B2A-3485,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Salt Lake City to Dammam,03E7-8779-AFF5,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Johannesburg to Johannesburg,05B5-AC0E-003B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Japan to Dammam,064C-251B-A491,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - APAC Based,0B29-DA5B-5E84,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Finland to Finland,0C20-DB08-034A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Los Angeles,0C3C-6B13-B1E8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Doha to Doha,0C5E-7503-BBF7,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Turin,0D2B-1931-5154,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Jakarta to Americas,0D56-2F80-52A5,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Berlin to Berlin,0E31-ADF0-094E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Frankfurt,0F4C-2B02-F59B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Doha to Dammam,0F5E-F0C2-210E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Dammam,100F-5B58-22F6,0.038,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Warsaw to Americas,1053-AC83-A223,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Mumbai to Mumbai,1141-8077-89C6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Africa,11D6-3D11-8E77,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Virginia to Virginia,1206-681C-CE11,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Americas to Americas,123C-0EFC-B7C8,1.077,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Milan,1486-7ACC-C40C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer Out,14F9-7705-2FD4,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Dallas to Dallas,1506-EB2E-5631,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Dammam,152E-0276-735F,0.016,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Taiwan,1594-EACD-A2CE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Salt Lake City to Americas,1779-5CD6-D18B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Hong Kong,1A09-5EEE-1E60,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Columbus to Columbus,1AED-D81B-963C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Montreal to Americas,1B9B-60EB-AF3D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Sydney to Sydney,1BE5-3E51-9226,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Americas,1CFF-8100-5F11,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Jakarta,1D38-522A-DE4C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Sydney,1D3E-3C54-0FA7,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Americas,1E55-5CEB-2AB1,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Mumbai,1ED6-0780-7FCF,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Johannesburg to Johannesburg,208F-F639-05C9,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from APAC to APAC,212E-B31F-3BF6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from China to Americas,227B-5B2B-A75A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Stockholm to Americas,22A3-1909-2C0A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Zurich to Americas,23F1-7159-60E3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to APAC,2583-7659-D94A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Madrid to Madrid,27B2-E982-6A77,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Milan to Milan,284A-20C0-7C45,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Melbourne to Dammam,28E7-7D45-FFC8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Turin to Turin,2ED4-2A30-0A78,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Americas,2F99-3A90-373B,0.049,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Delhi to Apac(Excluding Korea and Indonesia),3279-15A3-4278,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Stockholm to Stockholm,32DF-A1ED-3D05,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Los Angeles to Los Angeles,3314-F46F-569E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Las Vegas to Americas,3606-CAF7-7ACF,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Apac(Excluding Korea and Indonesia),378D-6896-1041,0.012,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Madrid to Madrid,3A7F-7DD6-2904,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Dammam,3C16-F96A-0C1E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Zurich to Zurich,3E61-F613-86A2,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Seoul,3F75-B514-9859,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Mumbai,4120-E8FB-841B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - Americas Based,427E-B4F2-B5CF,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Dammam to Dammam,42DA-28B0-A5D7,52.887,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Singapore,430F-7587-F336,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Paris,4311-3062-E1B8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Virginia to Dammam,43DE-9C90-B257,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Stockholm,441B-AAB5-C12D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to London,4744-A2F6-FE1E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Bangkok to Apac(Excluding Korea and Indonesia),4926-3F64-4F83,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from London to London,496F-CB10-77CE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Sao Paulo,4AF7-83FE-CE4C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Hong Kong to Americas,4B24-F362-2296,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Toronto to Dammam,4DF3-0453-511B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Paris,4E4B-768A-4304,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Frankfurt to Frankfurt,50B6-FB7D-9C7E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Columbus to Columbus,51A6-BFBD-0600,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Sao Paulo,5257-A110-6A1E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Jakarta to Dammam,526F-A5F1-941A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services Ingress from Stockholm to Stockholm,5599-48C6-B7A8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Paris to EMEA,5707-CE6A-1B90,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Mumbai to Mumbai,572E-4C84-6A07,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Netherlands to Americas,57FF-7666-67E6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Virginia to Americas,587F-0E36-6A26,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Berlin,58E5-A925-B69B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Stockholm,5C5F-13FC-9A3F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Dammam,5D00-F8BA-A9C8,0.002,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Delhi to Delhi,5D31-95B0-C174,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sao Paulo to Americas,5D89-42F2-7725,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (RAM cost),5DEA-D962-E5F8,"6,658.16",gibibyte hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Montreal,5E0D-5F20-E67E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Montreal to Montreal,6054-D293-9898,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Delhi to Delhi,615A-2683-CA35,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Mumbai,6294-CB12-3508,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Dammam,6376-D9D9-F05A,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Warsaw to Warsaw,6412-A8F9-FEE7,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from London to EMEA,670F-6189-F587,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Santiago,672C-6722-8C46,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South Korea to Seoul,6763-BABD-E91D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Johannesburg to Dammam,6777-1976-BAA0,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Johannesburg to Africa,6796-9E53-E9A4,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Delhi to Dammam,6812-89FA-DCA3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Hong Kong to Dammam,683C-D0F8-1A4E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),6934-30E8-A65F,"1,664.54",hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Debian 11 Bullseye,6969-D00C-298F,21.73,hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Santiago,69CC-A9E9-29DC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from EMEA to EMEA,6A43-0244-4A9C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Hong Kong to Hong Kong,6A4B-0255-634F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from APAC to Dammam,6B39-03B4-E763,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Los Angeles,6C64-3D0F-A141,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network HTTP Load Balancing Data Transfer Out to Load Balancer,6C67-1253-BB04,1.248,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Virginia,6D04-76C7-EECE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Japan to Japan,6D57-549F-A2E3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Dallas,6F61-D07A-F765,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Seoul to South Korea,70A1-9E75-5BB1,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from South America to Dammam,70FD-11F9-CD0D,0.012,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Frankfurt,7164-19AF-C025,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Columbus,735D-08F9-4DB3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Paris to Dammam,7502-6AD3-75F7,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Bangkok to Bangkok,7524-9B1E-A909,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Milan,754E-2211-4B0C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Seoul to Dammam,759B-E690-EF88,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Americas to Dammam,75A1-0709-0170,0.005,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to London,7618-3912-3F75,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network HTTP Load Balancing Data Transfer In from Load Balancer,761A-BA86-D467,0.584,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Seoul to Americas,7708-0869-D509,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Americas,773D-F52D-63CD,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Paris to Paris,77AD-7838-069E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Japan to Japan,7991-D283-D6E9,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from London to London,7A2F-CA2D-945B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Phoenix to Phoenix,7AC3-E252-3D45,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Stockholm to EMEA,7BDE-8022-8F2B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Finland to Finland,7C39-525B-E877,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Los Angeles to Los Angeles,7CA4-6CDF-06FF,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Debian 12 Bookworm,7DA4-2B85-2064,0.347,hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Indonesia to Jakarta,7F55-34A1-B949,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Berlin,7FC0-E6BA-1F2E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Netherlands to Netherlands,805A-3506-39F7,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Seoul to Seoul,8198-E4B0-1867,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Stockholm to Dammam,81F7-4829-9D18,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Johannesburg,8291-64EB-244C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Warsaw to Warsaw,833C-37DA-C224,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Australia to Sydney,83EB-85EE-660A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services Ingress from Bangkok to Bangkok,841F-CBFA-44DB,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Japan to Americas,8497-0F70-3439,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Japan,84DB-B83C-AD55,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Jakarta to Jakarta,8532-0615-4695,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Frankfurt to Frankfurt,85A7-C412-8905,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Toronto to Americas,85F0-FB41-1D81,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from London to Americas,8687-6D6B-5B8B,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Finland,878C-B028-AAFE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Jakarta to Indonesia,8827-24AC-FFAC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Toronto to Americas,892C-ECAD-0554,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Israel,8A7E-D937-D750,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Americas,8E2F-8EE0-E9FD,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Zurich to Zurich,8EE1-7AF9-DC7F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Doha to Doha,8FC0-F94B-D67D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Mumbai to Americas,90C1-86D9-BD3F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Finland,90CD-4D18-9E05,0,gibibyte,0,0,0,0,0,0%
